username,repo_name,stars,repo_url
public-apis,public-apis,268000,https://github.com/public-apis/public-apis
neovim,neovim,70800,https://github.com/neovim/neovim
tiangolo,fastapi,64400,https://github.com/tiangolo/fastapi
strapi,strapi,57200,https://github.com/strapi/strapi
hoppscotch,hoppscotch,56400,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,51600,https://github.com/ocornut/imgui
meilisearch,meilisearch,39700,https://github.com/meilisearch/meilisearch
slatedocs,slate,35600,https://github.com/slatedocs/slate
Kong,insomnia,31100,https://github.com/Kong/insomnia
hasura,graphql-engine,30500,https://github.com/hasura/graphql-engine
httpie,cli,30100,https://github.com/httpie/cli
trpc,trpc,29700,https://github.com/trpc/trpc
ccxt,ccxt,29600,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,29500,https://github.com/Binaryify/NeteaseCloudMusicApi
YMFE,yapi,26600,https://github.com/YMFE/yapi
encode,django-rest-framework,26600,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,24400,https://github.com/littlecodersh/ItChat
directus,directus,23700,https://github.com/directus/directus
microsoft,api-guidelines,22000,https://github.com/microsoft/api-guidelines
shieldfy,API-Security-Checklist,21500,https://github.com/shieldfy/API-Security-Checklist
