username,repo_name,stars,repo_url
jwasham,coding-interview-university,271000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,177000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,173000,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,168000,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,101000,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,60600,https://github.com/kdn251/interviews
TheAlgorithms,Java,54700,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,52800,https://github.com/azl397985856/leetcode
krahets,hello-algo,45800,https://github.com/krahets/hello-algo
algorithm-visualizer,algorithm-visualizer,45200,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,43200,https://github.com/youngyangyang04/leetcode-master
huihut,interview,31000,https://github.com/huihut/interview
halfrost,LeetCode-Go,30900,https://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,29600,https://github.com/TheAlgorithms/JavaScript
donnemartin,interactive-coding-challenges,28000,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout
TheAlgorithms,C-Plus-Plus,26600,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,23100,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,22000,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,21900,https://github.com/trekhleb/homemade-machine-learning
