username,repo_name,stars,repo_url
bregman-arie,devops-exercises,59400,https://github.com/bregman-arie/devops-exercises
localstack,localstack,49900,https://github.com/localstack/localstack
serverless,serverless,45300,https://github.com/serverless/serverless
ByteByteGoHq,system-design-101,44700,https://github.com/ByteByteGoHq/system-design-101
donnemartin,data-science-ipython-notebooks,25800,https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,18200,https://github.com/sst/sst
pulumi,pulumi,18100,https://github.com/pulumi/pulumi
kubernetes-sigs,kubespray,14700,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,14400,https://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,14400,https://github.com/ramitsurana/awesome-kubernetes
getsops,sops,14100,https://github.com/getsops/sops
donnemartin,awesome-aws,11800,https://github.com/donnemartin/awesome-aws
caprover,caprover,11300,https://github.com/caprover/caprover
GoogleCloudPlatform,terraformer,11000,https://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,10700,https://github.com/aws/aws-cdk
apereo,cas,10400,https://github.com/apereo/cas
aws,chalice,10000,https://github.com/aws/chalice
infracost,infracost,9700,https://github.com/infracost/infracost
aws-amplify,amplify-js,9300,https://github.com/aws-amplify/amplify-js
google,go-cloud,9200,https://github.com/google/go-cloud
