username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,106000,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,91900,https://github.com/angular/angular
storybookjs,storybook,80800,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,59700,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,49800,https://github.com/ionic-team/ionic-framework
prettier,prettier,46900,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,39100,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,33800,https://github.com/SheetJS/sheetjs
angular,angular-cli,26300,https://github.com/angular/angular-cli
angular,components,23800,https://github.com/angular/components
NativeScript,NativeScript,23200,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,22500,https://github.com/goldbergyoni/javascript-testing-best-practices
jhipster,generator-jhipster,21000,https://github.com/jhipster/generator-jhipster
nrwl,nx,20100,https://github.com/nrwl/nx
pubkey,rxdb,19800,https://github.com/pubkey/rxdb
wailsapp,wails,19000,https://github.com/wailsapp/wails
sudheerj,javascript-interview-questions,18600,https://github.com/sudheerj/javascript-interview-questions
teambit,bit,17100,https://github.com/teambit/bit
sweetalert2,sweetalert2,16400,https://github.com/sweetalert2/sweetalert2
jasontaylordev,CleanArchitecture,14000,https://github.com/jasontaylordev/CleanArchitecture
