username,repo_name,stars,repo_url
arendst,Tasmota,20600,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,15400,https://github.com/MarlinFirmware/Marlin
arduino,Arduino,13800,https://github.com/arduino/Arduino
tinygo-org,tinygo,13600,https://github.com/tinygo-org/tinygo
rwaldron,johnny-five,13100,https://github.com/rwaldron/johnny-five
SpacehuhnTech,esp8266_deauther,12300,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,11600,https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,9000,https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,8500,https://github.com/hybridgroup/gobot
platformio,platformio-core,7100,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,6300,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,6100,https://github.com/tzapu/WiFiManager
olikraus,u8g2,4300,https://github.com/olikraus/u8g2
ClemensElflein,OpenMower,4100,https://github.com/ClemensElflein/OpenMower
Arduino-IRremote,Arduino-IRremote,4100,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,4000,https://github.com/arduino/arduino-cli
hybridgroup,cylon,4000,https://github.com/hybridgroup/cylon
Serial-Studio,Serial-Studio,3700,https://github.com/Serial-Studio/Serial-Studio
blynkkk,blynk-library,3700,https://github.com/blynkkk/blynk-library
NerdLang,nerd,3500,https://github.com/NerdLang/nerd
