username,repo_name,stars,repo_url
sindresorhus,awesome,277000,https://github.com/sindresorhus/awesome
vinta,awesome-python,186000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,155000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,112000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,111000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,77700,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,77600,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,71000,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,64900,https://github.com/jaywcjlove/awesome-mac
enaqx,awesome-react,59100,https://github.com/enaqx/awesome-react
DopplerHQ,awesome-interview-questions,59000,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,58200,https://github.com/MunGell/awesome-for-beginners
sindresorhus,awesome-nodejs,53400,https://github.com/sindresorhus/awesome-nodejs
fffaraz,awesome-cpp,50300,https://github.com/fffaraz/awesome-cpp
prakhar1989,awesome-courses,50000,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,49100,https://github.com/Solido/awesome-flutter
binhnguyennus,awesome-scalability,49100,https://github.com/binhnguyennus/awesome-scalability
wasabeef,awesome-android-ui,47800,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,44300,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,43100,https://github.com/tiimgreen/github-cheat-sheet
