username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,141000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,71400,https://github.com/nvm-sh/nvm
junegunn,fzf,55300,https://github.com/junegunn/fzf
google,zx,38900,https://github.com/google/zx
starship,starship,37500,https://github.com/starship/starship
dylanaraps,pure-bash-bible,35000,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,35000,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,33700,https://github.com/acmesh-official/acme.sh
koalaman,shellcheck,33600,https://github.com/koalaman/shellcheck
mathiasbynens,dotfiles,29400,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,29100,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,25600,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,23400,https://github.com/withfig/autocomplete
dylanaraps,neofetch,19100,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,19000,https://github.com/asdf-vm/asdf
Nyr,openvpn-install,17700,https://github.com/Nyr/openvpn-install
kingToolbox,WindTerm,17400,https://github.com/kingToolbox/WindTerm
warpdotdev,Warp,15800,https://github.com/warpdotdev/Warp
rbenv,rbenv,15400,https://github.com/rbenv/rbenv
charmbracelet,gum,15100,https://github.com/charmbracelet/gum
