username,repo_name,stars,repo_url
Genymobile,scrcpy,93700,https://github.com/Genymobile/scrcpy
neovim,neovim,70800,https://github.com/neovim/neovim
obsproject,obs-studio,51600,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,50300,https://github.com/fffaraz/awesome-cpp
git,git,47900,https://github.com/git/git
FFmpeg,FFmpeg,39300,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,37500,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,33400,https://github.com/vim/vim
curl,curl,32400,https://github.com/curl/curl
huihut,interview,31000,https://github.com/huihut/interview
ggreer,the_silver_searcher,25300,https://github.com/ggreer/the_silver_searcher
mpv-player,mpv,24000,https://github.com/mpv-player/mpv
ossrs,srs,23000,https://github.com/ossrs/srs
google,flatbuffers,21300,https://github.com/google/flatbuffers
ruby,ruby,20900,https://github.com/ruby/ruby
kovidgoyal,kitty,20300,https://github.com/kovidgoyal/kitty
microsoft,vcpkg,20100,https://github.com/microsoft/vcpkg
radareorg,radare2,18800,https://github.com/radareorg/radare2
hashcat,hashcat,18600,https://github.com/hashcat/hashcat
jarun,nnn,17300,https://github.com/jarun/nnn
