username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,43000,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,25600,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,22100,https://github.com/refined-github/refined-github
openai-translator,openai-translator,18800,https://github.com/openai-translator/openai-translator
darkreader,darkreader,17600,https://github.com/darkreader/darkreader
checkly,headless-recorder,14900,https://github.com/checkly/headless-recorder
dailydotdev,daily,14500,https://github.com/dailydotdev/daily
unbug,codelf,13800,https://github.com/unbug/codelf
wong2,chatgpt-google-extension,13300,https://github.com/wong2/chatgpt-google-extension
gildas-lormeau,SingleFile,12400,https://github.com/gildas-lormeau/SingleFile
immersive-translate,immersive-translate,11900,https://github.com/immersive-translate/immersive-translate
Anarios,return-youtube-dislike,11800,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,11200,https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,10700,https://github.com/listen1/listen1_chrome_extension
josStorer,chatGPTBox,8900,https://github.com/josStorer/chatGPTBox
alyssaxuu,screenity,8800,https://github.com/alyssaxuu/screenity
AutomaApp,automa,8500,https://github.com/AutomaApp/automa
chathub-dev,chathub,8500,https://github.com/chathub-dev/chathub
appbaseio,dejavu,8200,https://github.com/appbaseio/dejavu
ajayyy,SponsorBlock,7900,https://github.com/ajayyy/SponsorBlock
