username,repo_name,stars,repo_url
electron,electron,110000,https://github.com/electron/electron
puppeteer,puppeteer,85000,https://github.com/puppeteer/puppeteer
microsoft,playwright,56500,https://github.com/microsoft/playwright
FiloSottile,mkcert,43400,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,43000,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,25600,https://github.com/jaywcjlove/linux-command
ovity,octotree,22600,https://github.com/ovity/octotree
segment-boneyard,nightmare,19500,https://github.com/segment-boneyard/nightmare
checkly,headless-recorder,14900,https://github.com/checkly/headless-recorder
google,WebFundamentals,13800,https://github.com/google/WebFundamentals
GoogleChrome,chrome-extensions-samples,13300,https://github.com/GoogleChrome/chrome-extensions-samples
schickling,chromeless,13200,https://github.com/schickling/chromeless
gildas-lormeau,SingleFile,12400,https://github.com/gildas-lormeau/SingleFile
casesandberg,react-color,11600,https://github.com/casesandberg/react-color
crimx,ext-saladict,11200,https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,10800,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,9700,https://github.com/chromedp/chromedp
moonD4rk,HackBrowserData,9000,https://github.com/moonD4rk/HackBrowserData
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
ajayyy,SponsorBlock,7900,https://github.com/ajayyy/SponsorBlock
