username,repo_name,stars,repo_url
ovity,octotree,22600,https://github.com/ovity/octotree
gitpod-io,gitpod,11700,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,6800,https://github.com/reviewdog/reviewdog
danger,danger,5300,https://github.com/danger/danger
danger,danger-js,5100,https://github.com/danger/danger-js
joho,awesome-code-review,4100,https://github.com/joho/awesome-code-review
Codium-ai,pr-agent,2600,https://github.com/Codium-ai/pr-agent
ajinabraham,nodejsscan,2300,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,2100,https://github.com/microsoft/vscode-pull-request-github
houndci,hound,1900,https://github.com/houndci/hound
crev-dev,cargo-crev,1900,https://github.com/crev-dev/cargo-crev
mbj,mutant,1900,https://github.com/mbj/mutant
reviewboard,reviewboard,1500,https://github.com/reviewboard/reviewboard
Tencent,CodeAnalysis,1500,https://github.com/Tencent/CodeAnalysis
ryanmcdermott,code-review-tips,1400,https://github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,1200,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1200,https://github.com/code-review-checklists/java-concurrency
coderabbitai,ai-pr-reviewer,1000,https://github.com/coderabbitai/ai-pr-reviewer
mattzcarey,code-review-gpt,944,https://github.com/mattzcarey/code-review-gpt
TeamCodeStream,codestream,912,https://github.com/TeamCodeStream/codestream
