username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,164000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,55300,https://github.com/junegunn/fzf
sherlock-project,sherlock,44300,https://github.com/sherlock-project/sherlock
sharkdp,bat,43800,https://github.com/sharkdp/bat
BurntSushi,ripgrep,41000,https://github.com/BurntSushi/ripgrep
jesseduffield,lazygit,40000,https://github.com/jesseduffield/lazygit
wagoodman,dive,39300,https://github.com/wagoodman/dive
google,zx,38900,https://github.com/google/zx
chubin,cheat.sh,36300,https://github.com/chubin/cheat.sh
n8n-io,n8n,34900,https://github.com/n8n-io/n8n
spf13,cobra,34000,https://github.com/spf13/cobra
cli,cli,33700,https://github.com/cli/cli
httpie,cli,30100,https://github.com/httpie/cli
sharkdp,fd,29400,https://github.com/sharkdp/fd
alebcay,awesome-shell,29100,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,28400,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,27500,https://github.com/acheong08/ChatGPT
angular,angular-cli,26300,https://github.com/angular/angular-cli
tqdm,tqdm,26200,https://github.com/tqdm/tqdm
google,python-fire,25500,https://github.com/google/python-fire
