username,repo_name,stars,repo_url
vercel,next.js,114000,https://github.com/vercel/next.js
rust-lang,rust,86900,https://github.com/rust-lang/rust
sveltejs,svelte,73500,https://github.com/sveltejs/svelte
webpack,webpack,63600,https://github.com/webpack/webpack
gatsbyjs,gatsby,54800,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,46200,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,42800,https://github.com/parcel-bundler/parcel
babel,babel,42600,https://github.com/babel/babel
evanw,esbuild,36300,https://github.com/evanw/esbuild
vlang,v,34800,https://github.com/vlang/v
FuelLabs,sway,32100,https://github.com/FuelLabs/sway
carbon-language,carbon-lang,31500,https://github.com/carbon-language/carbon-lang
markedjs,marked,30800,https://github.com/markedjs/marked
swc-project,swc,28900,https://github.com/swc-project/swc
ziglang,zig,26900,https://github.com/ziglang/zig
vercel,pkg,23900,https://github.com/vercel/pkg
typst,typst,22300,https://github.com/typst/typst
v8,v8,21900,https://github.com/v8/v8
oracle,graal,19200,https://github.com/oracle/graal
AssemblyScript,assemblyscript,16000,https://github.com/AssemblyScript/assemblyscript
